                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.59957,                0.35333,                 1.0065,                0.95403,                0.98446,                0.98754,                0.85717,                0.50563,                0.24801,                0.95467,              0.0090199,              0.0090199,              0.0090199
                    101,                0.60273,                0.35493,                  1.011,                0.98101,                0.98045,                0.98768,                0.85593,                0.50774,                0.24913,                0.95557,                0.00901,                0.00901,                0.00901
                    102,                0.60845,                0.36685,                 1.0124,                0.96823,                 0.9834,                0.98739,                0.85732,                0.50629,                0.24268,                0.95493,              0.0090001,              0.0090001,              0.0090001
                    103,                0.60868,                0.36512,                 1.0098,                0.97557,                0.97506,                0.98585,                0.85402,                0.51146,                0.24845,                0.95718,              0.0089902,              0.0089902,              0.0089902
                    104,                0.61135,                0.36246,                  1.014,                0.97485,                0.97437,                0.98347,                0.85407,                0.50889,                0.24403,                0.95679,              0.0089803,              0.0089803,              0.0089803
                    105,                0.61706,                0.36331,                 1.0195,                0.95299,                0.98115,                0.98675,                0.86259,                0.49548,                0.24292,                0.95366,              0.0089704,              0.0089704,              0.0089704
                    106,                0.61381,                0.35878,                 1.0145,                0.98027,                0.98872,                0.98808,                0.85622,                0.49705,                0.24002,                0.95674,              0.0089605,              0.0089605,              0.0089605
                    107,                0.61212,                0.36703,                  1.015,                0.97952,                0.98414,                0.98796,                0.85516,                0.50053,                0.24002,                0.96164,              0.0089506,              0.0089506,              0.0089506
                    108,                0.60147,                0.35596,                 1.0117,                0.97612,                0.97891,                0.98629,                0.86009,                0.49564,                0.24064,                0.95622,              0.0089407,              0.0089407,              0.0089407
                    109,                 0.6055,                0.35912,                 1.0078,                0.95782,                0.98393,                0.98264,                0.85549,                0.50545,                0.24165,                0.95696,              0.0089308,              0.0089308,              0.0089308
                    110,                0.60456,                0.35636,                   1.01,                0.97658,                0.97964,                0.98551,                0.86147,                0.49954,                0.24238,                0.95483,              0.0089209,              0.0089209,              0.0089209
                    111,                0.60246,                0.35574,                 1.0053,                0.96766,                0.98911,                0.98759,                0.86213,                0.49323,                0.23738,                0.94142,               0.008911,               0.008911,               0.008911
